datetime,USAGE_KWH,DAY_OF_WEEK,HOUR_OF_DAY,VISIBILITY,TEMP_F,TEMP_C,RELATIVE_HUMIDITY
1/1/2016 0:00:00,8.87,4,0,10,45,7.3,80
1/1/2016 0:15:00,9.053,4,0,10,45,7.3,80
1/1/2016 0:30:00,8.746,4,0,10,45,7.3,80
1/1/2016 0:45:00,8.688,4,0,10,45,7.3,80
1/1/2016 1:00:00,9.062,4,1,10,45,7,77
1/1/2016 1:15:00,9.005,4,1,10,45,7,77
1/1/2016 1:30:00,8.698,4,1,10,45,7,77
1/1/2016 1:45:00,8.784,4,1,10,45,7,77
1/1/2016 2:00:00,9.274,4,2,10,44,6.5,77
1/1/2016 2:15:00,8.842,4,2,10,44,6.5,77
1/1/2016 2:30:00,8.822,4,2,10,44,6.5,77
1/1/2016 2:45:00,8.966,4,2,10,44,6.5,77
1/1/2016 3:00:00,9.072,4,3,10,44,6.5,77
1/1/2016 3:15:00,8.87,4,3,10,44,6.5,77
1/1/2016 3:30:00,8.746,4,3,10,44,6.5,77
1/1/2016 3:45:00,8.842,4,3,10,44,6.5,77
1/1/2016 4:00:00,8.899,4,4,10,43,6.3,74
1/1/2016 4:15:00,8.899,4,4,10,43,6.3,74
1/1/2016 4:30:00,8.918,4,4,10,43,6.3,74
1/1/2016 4:45:00,8.928,4,4,10,43,6.3,74
1/1/2016 5:00:00,8.995,4,5,10,42,5.5,71
1/1/2016 5:15:00,9.101,4,5,10,42,5.5,71
1/1/2016 5:30:00,8.746,4,5,10,42,5.5,71
1/1/2016 5:45:00,8.813,4,5,10,42,5.5,71
1/1/2016 6:00:00,8.64,4,6,10,42,5.5,71
1/1/2016 6:15:00,8.986,4,6,10,42,5.5,71
1/1/2016 6:30:00,8.765,4,6,10,42,5.5,71
1/1/2016 6:45:00,8.63,4,6,10,42,5.5,71
1/1/2016 7:00:00,8.966,4,7,10,42,5.5,71
1/1/2016 7:15:00,8.621,4,7,10,42,5.5,71
1/1/2016 7:30:00,8.995,4,7,10,42,5.5,71
1/1/2016 7:45:00,8.88,4,7,10,42,5.5,71
1/1/2016 8:00:00,8.486,4,8,10,42,5.3,68
1/1/2016 8:15:00,8.65,4,8,10,42,5.3,68
1/1/2016 8:30:00,8.909,4,8,10,42,5.3,68
1/1/2016 8:45:00,8.966,4,8,10,42,5.3,68
1/1/2016 9:00:00,8.506,4,9,10,42,5.3,68
1/1/2016 9:15:00,8.803,4,9,10,42,5.3,68
1/1/2016 9:30:00,8.698,4,9,10,42,5.3,68
1/1/2016 9:45:00,8.64,4,9,10,42,5.3,68
1/1/2016 10:00:00,9.062,4,10,10,43,5.9,63
1/1/2016 10:15:00,8.544,4,10,10,43,5.9,63
1/1/2016 10:30:00,8.678,4,10,10,43,5.9,63
1/1/2016 10:45:00,8.64,4,10,10,43,5.9,63
1/1/2016 11:00:00,8.851,4,11,10,42,5.7,61
1/1/2016 11:15:00,8.822,4,11,10,42,5.7,61
1/1/2016 11:30:00,8.707,4,11,10,42,5.7,61
1/1/2016 11:45:00,8.746,4,11,10,42,5.7,61
1/1/2016 12:00:00,8.851,4,12,10,43,5.9,63
1/1/2016 12:15:00,8.726,4,12,10,42,5.7,61
1/1/2016 12:30:00,8.746,4,12,10,42,5.7,61
1/1/2016 12:45:00,8.726,4,12,10,42,5.7,61
1/1/2016 13:00:00,8.909,4,13,10,43,5.9,59
1/1/2016 13:15:00,8.621,4,13,10,43,5.9,59
1/1/2016 13:30:00,8.976,4,13,10,43,5.9,59
1/1/2016 13:45:00,8.611,4,13,10,43,5.9,59
1/1/2016 14:00:00,8.89,4,14,10,43,6.2,61
1/1/2016 14:15:00,8.861,4,14,10,43,6.2,61
1/1/2016 14:30:00,8.621,4,14,10,43,6.2,61
1/1/2016 14:45:00,8.563,4,14,10,43,6.2,61
1/1/2016 15:00:00,8.928,4,15,10,42,5.7,61
1/1/2016 15:15:00,8.765,4,15,10,42,5.7,61
1/1/2016 15:30:00,8.678,4,15,10,42,5.7,61
1/1/2016 15:45:00,8.659,4,15,10,42,5.7,61
1/1/2016 16:00:00,8.688,4,16,10,43,6.1,66
1/1/2016 16:15:00,8.64,4,16,10,43,6.1,66
1/1/2016 16:30:00,8.698,4,16,10,43,6.1,66
1/1/2016 16:45:00,9.11,4,16,10,43,6.1,66
1/1/2016 17:00:00,8.755,4,17,10,43,6.3,74
1/1/2016 17:15:00,8.63,4,17,10,43,6.3,74
1/1/2016 17:30:00,8.726,4,17,10,43,6.3,74
1/1/2016 17:45:00,9.005,4,17,10,43,6.3,74
1/1/2016 18:00:00,8.698,4,18,10,43,5.8,68
1/1/2016 18:15:00,8.688,4,18,10,43,5.8,68
1/1/2016 18:30:00,9.254,4,18,10,43,5.8,68
1/1/2016 18:45:00,8.746,4,18,10,43,5.8,68
1/1/2016 19:00:00,8.822,4,19,10,42,5.5,71
1/1/2016 19:15:00,9.053,4,19,10,42,5.5,71
1/1/2016 19:30:00,9.197,4,19,10,42,5.5,71
1/1/2016 19:45:00,8.659,4,19,10,42,5.5,71
1/1/2016 20:00:00,8.669,4,20,10,42,5.5,71
1/1/2016 20:15:00,8.822,4,20,10,42,5.5,71
1/1/2016 20:30:00,9.072,4,20,10,42,5.5,71
1/1/2016 20:45:00,8.784,4,20,10,42,5.5,71
1/1/2016 21:00:00,8.813,4,21,10,42,5.5,71
1/1/2016 21:15:00,8.851,4,21,10,42,5.5,71
1/1/2016 21:30:00,8.774,4,21,10,42,5.5,71
1/1/2016 21:45:00,9.062,4,21,10,42,5.5,71
1/1/2016 22:00:00,8.784,4,22,10,41,5.2,74
1/1/2016 22:15:00,8.659,4,22,10,41,5.2,74
1/1/2016 22:30:00,8.63,4,22,10,41,5.2,74
1/1/2016 22:45:00,8.707,4,22,10,41,5.2,74
1/1/2016 23:00:00,8.89,4,23,10,41,5.2,74
1/1/2016 23:15:00,8.659,4,23,10,41,5.2,74
1/1/2016 23:30:00,8.707,4,23,10,41,5.2,74
1/1/2016 23:45:00,8.899,4,23,10,41,5.2,74
1/2/2016 0:00:00,8.784,5,0,10,41,5.2,74
1/2/2016 0:15:00,8.861,5,0,10,41,5.2,74
1/2/2016 0:30:00,8.554,5,0,10,41,5.2,74
1/2/2016 0:45:00,9.11,5,0,10,41,5.2,74
1/2/2016 1:00:00,8.63,5,1,10,41,5.2,74
1/2/2016 1:15:00,8.64,5,1,10,41,5.2,74
1/2/2016 1:30:00,8.957,5,1,10,41,5.2,74
1/2/2016 1:45:00,8.525,5,1,10,41,5.2,74
1/2/2016 2:00:00,8.803,5,2,10,41,5.2,74
1/2/2016 2:15:00,8.755,5,2,10,41,5.2,74
1/2/2016 2:30:00,8.832,5,2,10,41,5.2,74
1/2/2016 2:45:00,9.418,5,2,10,41,5.2,74
1/2/2016 3:00:00,8.966,5,3,10,41,5,71
1/2/2016 3:15:00,8.746,5,3,10,41,5,71
1/2/2016 3:30:00,8.803,5,3,10,41,5,71
1/2/2016 3:45:00,8.947,5,3,10,41,5,71
1/2/2016 4:00:00,8.688,5,4,10,41,4.8,68
1/2/2016 4:15:00,8.794,5,4,10,41,4.8,68
1/2/2016 4:30:00,8.784,5,4,10,41,4.8,68
1/2/2016 4:45:00,8.64,5,4,10,41,4.8,68
1/2/2016 5:00:00,9.062,5,5,10,40,4.6,65
1/2/2016 5:15:00,8.832,5,5,10,40,4.6,65
1/2/2016 5:30:00,8.794,5,5,10,40,4.6,65
1/2/2016 5:45:00,8.755,5,5,10,40,4.6,65
1/2/2016 6:00:00,8.726,5,6,10,40,4.6,65
1/2/2016 6:15:00,8.803,5,6,10,40,4.6,65
1/2/2016 6:30:00,8.842,5,6,10,40,4.6,65
1/2/2016 6:45:00,8.678,5,6,10,40,4.6,65
1/2/2016 7:00:00,8.707,5,7,10,41,4.8,68
1/2/2016 7:15:00,8.678,5,7,10,41,4.8,68
1/2/2016 7:30:00,8.698,5,7,10,41,4.8,68
